itstId,itstNm,lat,lng,regDt
132,목동7단지,37.527705,126.864169,2022-12-12T16:30:40.000+00:00
1324,기상청입구,37.497195,126.917560,2022-12-12T16:30:40.000+00:00
1327,태릉시장,37.599561,127.079904,2022-12-12T16:30:40.000+00:00
133,목동역,37.526131,126.864330,2022-12-12T16:30:40.000+00:00
134,"남부법원,검찰청",37.522482,126.865433,2022-12-12T16:30:40.000+00:00
1365,방화초교,37.567800,126.807633,2022-12-12T16:30:39.000+00:00
1366,목동119안전센터,37.542824,126.883961,2022-12-12T16:30:39.000+00:00
1375,서초롯데캐슬아파트,37.500832,127.022373,2022-12-12T16:30:39.000+00:00
1383,안암교,37.577052,127.028177,2022-12-12T16:30:39.000+00:00
139,영등포구청앞,37.525988,126.896668,2022-12-12T16:30:39.000+00:00
1392,806전투경찰대,37.619281,126.905565,2022-12-12T16:30:39.000+00:00
1395,은혜산부인과,37.607864,126.924780,2022-12-12T16:30:39.000+00:00
1396,양광교회,37.608492,126.928696,2022-12-12T16:30:39.000+00:00
1400,중화역,37.601590,127.079458,2022-12-12T16:30:40.000+00:00
141,남정초교,37.536755,126.964016,2022-12-12T16:30:39.000+00:00
1411,발산역,37.558565,126.838231,2022-12-12T16:30:39.000+00:00
1412,궁동터널입구,37.507075,126.838211,2022-12-12T16:30:39.000+00:00
1417,신정배수펌프장,37.525531,126.877868,2022-12-12T16:30:39.000+00:00
142,한진해운빌딩앞,37.524089,126.925523,2022-12-12T16:30:40.000+00:00
1424,교보타워사거리,37.504521,127.024486,2022-12-12T16:30:39.000+00:00
1426,산골고개,37.597612,126.938609,2022-12-12T16:30:39.000+00:00
1429,정은스카이빌,37.522350,126.850216,2022-12-12T16:30:39.000+00:00
143,공항천주교회,37.555088,126.812375,2022-12-12T16:30:40.000+00:00
1437,KBS스포츠월드,37.556837,126.849789,2022-12-12T16:30:39.000+00:00
1445,동문빌딩,37.521262,126.868722,2022-12-12T16:30:40.000+00:00
1446,AT센터,37.468611,127.039847,2022-12-12T16:30:39.000+00:00
1449,월드빌아파트,37.586706,126.912364,2022-12-12T16:30:39.000+00:00
146,탑성마을,37.458799,127.056000,2022-12-12T16:30:39.000+00:00
1460,개나리아파트정문,37.499360,127.047182,2022-12-12T16:30:39.000+00:00
1463,종로노인복지관앞,37.575613,127.005009,2022-12-12T16:30:39.000+00:00
1467,가리봉사거리,37.481796,126.886696,2022-12-12T16:30:40.000+00:00
1473,흰돌교회,37.588421,127.079997,2022-12-12T16:30:40.000+00:00
148,국회의사당,37.528805,126.916596,2022-12-12T16:30:39.000+00:00
1480,양천향교역,37.568455,126.841313,2022-12-12T16:30:39.000+00:00
1481,공진중학교,37.564402,126.848860,2022-12-12T16:30:39.000+00:00
1483,개봉1동사거리,37.501598,126.846559,2022-12-12T16:30:40.000+00:00
1486,등촌역,37.551443,126.864000,2022-12-12T16:30:39.000+00:00
149,국회도서관,37.530332,126.919097,2022-12-12T16:30:39.000+00:00
1496,사러가시장앞,37.505848,126.911017,2022-12-12T16:30:40.000+00:00
150,서울디자인지원센터,37.572939,127.007575,2022-12-12T16:30:39.000+00:00
1506,종묘입구,37.572605,126.991531,2022-12-12T16:30:39.000+00:00
151,이화사거리,37.576168,127.002210,2022-12-12T16:30:40.000+00:00
1510,심미아파트,37.525044,126.856211,2022-12-12T16:30:39.000+00:00
1524,가리봉치안센터,37.478728,126.893644,2022-12-12T16:30:40.000+00:00
1525,"목동13,14단지",37.514037,126.869718,2022-12-12T16:30:40.000+00:00
1526,강서면허시험장,37.548597,126.819993,2022-12-12T16:30:40.000+00:00
1529,서남충전소,37.572757,126.828841,2022-12-12T16:30:39.000+00:00
1531,서빙고역,37.520289,126.990666,2022-12-12T16:30:39.000+00:00
